akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;RMSPropconst;RMSProprate;MSE;R2;TrainSteps;Time_s
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;0.0001;0.99;0.020495751;0.13654623;504;1.62
relu;(50, 25);0;0.001;l2;0.01;16;1.00E-05;0.9;0.020496066;0.136532961;506;0.31
relu;(50, 25);0;0.003;l2;0.001;32;1.00E-06;0.9;0.020496188;0.136527839;506;0.27
relu;(50, 25);0;0.003;l2;0.01;32;1.00E-06;0.9;0.02049632;0.136522255;506;0.29
relu;(100, 100, 100, 50);0;0.003;l2;0.001;64;1.00E-06;0.8;0.020496647;0.136508486;504;0.94
relu;(100, 50, 25);0;0.03;l2;1.00E-05;64;0.0001;0.9;0.020500314;0.136354022;504;1.53
relu;(50, 25);0;0.001;l2;0.01;16;1.00E-05;0.99;0.020500475;0.136347233;506;0.28
relu;(100, 100, 100, 50);0.2;0.03;l1;1.00E-05;16;1.00E-06;0.8;0.020501519;0.136303252;506;0.67
relu;(50, 25);0.2;0.003;l2;1.00E-05;32;1.00E-05;0.99;0.02050273;0.136252219;506;0.27
relu;(100, 100, 100, 50);0;0.003;l2;1.00E-05;16;1.00E-06;0.99;0.020503533;0.1362184;506;1.68
relu;(100, 50, 25);0;0.03;l2;1.00E-05;32;1.00E-05;0.9;0.020511605;0.135878352;506;1.16
relu;(100, 50, 25);0;0.003;l2;0.001;32;1.00E-06;0.9;0.020513566;0.135795732;506;0.74
relu;(100, 50, 25);0;0.001;l2;0.01;64;1.00E-06;0.9;0.020516047;0.135691213;504;1.5
relu;(100, 100, 100, 50);0;0.003;l1;0.001;32;0.0001;0.99;0.020538454;0.134747222;506;2.33
relu;(100, 100, 100, 50);0.2;0.003;l1;1.00E-05;64;1.00E-06;0.9;0.020547686;0.134358287;504;1.04
relu;(100, 100, 100, 50);0;0.003;l1;0.001;64;0.0001;0.9;0.020548548;0.134321989;504;2.63
relu;(50, 25);0;0.001;l2;0.001;64;1.00E-06;0.99;0.020549181;0.134295306;504;0.31
relu;(50, 25);0;0.001;l2;0.01;64;0.0001;0.9;0.020560909;0.133801236;504;0.32
relu;(50, 25);0.2;0.001;l2;0.001;32;1.00E-06;0.9;0.020567532;0.133522194;506;0.35
relu;(50, 25);0.2;0.03;l2;1.00E-05;32;0.0001;0.9;0.020574013;0.133249162;506;0.41
relu;(100, 50, 25);0;0.03;l2;0.001;16;0.0001;0.99;0.020574343;0.133235277;506;0.98
relu;(100, 100, 100, 50);0;0.001;l2;0.01;32;1.00E-05;0.8;0.020592801;0.132457669;506;2.19
relu;(100, 50, 25);0;0.03;l2;0.001;64;1.00E-06;0.9;0.020598488;0.132218099;504;1.58
