akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;firstmomentrate;secmomentrate;Adamconst;MSE;R2;TrainSteps;Time_s
relu;(50, 50, 50);0;0.03;l1;1.00E-05;64;0.8;0.99;1.00E-06;0.020385894;0.185904351;504;0.48
relu;(100, 50, 25);0;0.01;l1;0.0001;16;0.8;0.999;1.00E-06;0.020388163;0.185813734;506;0.35
relu;(50, 50, 50);0.1;0.01;l2;0.0001;32;0.8;0.999;1.00E-06;0.020388177;0.185813162;506;0.8
relu;(100, 50, 25);0.1;0.03;l2;0.0001;16;0.8;0.9;1.00E-08;0.020389153;0.185774181;506;0.77
relu;(100, 50, 25);0.1;0.01;l1;1.00E-05;32;0.9;0.99;1.00E-06;0.020399113;0.185376436;506;1.11
relu;(50, 50, 50);0;0.01;none;0.01;32;0.99;0.99;1.00E-08;0.020401734;0.18527179;506;0.33
relu;(50, 50, 50);0;0.03;none;0.0001;32;0.8;0.9;1.00E-08;0.020402337;0.185247681;506;0.35
relu;(100, 50, 25);0;0.01;l1;0.0001;64;0.99;0.999;1.00E-06;0.020402724;0.185232227;504;0.74
relu;(50, 50, 50);0.1;0.03;l1;1.00E-05;32;0.8;0.99;1.00E-08;0.02040671;0.185073071;506;0.72
relu;(50, 50, 50);0.1;0.03;l1;1.00E-05;64;0.8;0.9;1.00E-06;0.020407751;0.185031507;504;0.74
relu;(100, 50, 25);0;0.03;l1;0.0001;64;0.8;0.999;1.00E-06;0.020410759;0.184911354;504;0.46
relu;(50, 50, 50);0.1;0.01;l1;0.0001;16;0.9;0.9;1.00E-08;0.020413758;0.184791609;506;0.8
relu;(100, 50, 25);0;0.01;l2;1.00E-05;16;0.9;0.999;1.00E-08;0.020414153;0.184775816;506;0.51
relu;(100, 100, 100, 50);0;0.03;l2;0.0001;16;0.8;0.99;1.00E-06;0.020417149;0.184656173;506;0.91
relu;(50, 50, 50);0;0.03;none;0.01;16;0.9;0.99;1.00E-06;0.020417231;0.184652901;506;0.3
relu;(100, 100, 100, 50);0;0.001;l1;0.0001;64;0.99;0.999;1.00E-08;0.020417473;0.184643256;504;1.56
relu;(100, 100, 100, 50);0;0.03;l2;1.00E-05;32;0.8;0.999;1.00E-08;0.020418543;0.184600537;506;1.21
relu;(100, 100, 100, 50);0.1;0.03;l1;1.00E-05;64;0.9;0.99;1.00E-08;0.020418899;0.184586308;504;2.13
relu;(100, 100, 100, 50);0;0.01;l1;1.00E-05;16;0.9;0.9;1.00E-08;0.020420367;0.184527673;506;1.18
relu;(100, 50, 25);0;0.03;l1;0.0001;32;0.8;0.99;1.00E-06;0.020421887;0.184466973;506;0.4
relu;(100, 100, 100, 50);0.1;0.01;none;1.00E-05;16;0.8;0.999;1.00E-06;0.020424868;0.184347952;506;1.13
relu;(100, 50, 25);0;0.01;l1;1.00E-05;32;0.9;0.99;1.00E-06;0.020426291;0.184291098;506;0.9
relu;(100, 50, 25);0;0.03;l1;1.00E-05;16;0.8;0.99;1.00E-06;0.0204274;0.184246827;506;0.35
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;32;0.8;0.9;1.00E-08;0.020429355;0.184168743;506;1.18
relu;(100, 50, 25);0.1;0.03;l2;0.0001;64;0.8;0.99;1.00E-08;0.020432881;0.184027961;504;1.13
relu;(50, 50, 50);0.1;0.01;none;0.01;16;0.9;0.999;1.00E-06;0.020433749;0.183993277;506;0.72
relu;(50, 50, 50);0;0.03;l1;0.0001;64;0.9;0.9;1.00E-08;0.020439281;0.183772367;504;0.44
relu;(100, 50, 25);0;0.001;l1;0.0001;32;0.9;0.999;1.00E-06;0.020440852;0.183709616;506;0.73
relu;(50, 50, 50);0;0.03;l1;0.0001;32;0.8;0.9;1.00E-06;0.020441588;0.183680249;506;0.4
relu;(100, 100, 100, 50);0;0.01;l1;0.0001;32;0.9;0.999;1.00E-08;0.020442052;0.183661699;506;1.44
relu;(50, 50, 50);0;0.03;l2;0.0001;64;0.99;0.99;1.00E-06;0.020445092;0.183540321;504;1.31
relu;(100, 100, 100, 50);0;0.03;l1;0.0001;64;0.9;0.9;1.00E-06;0.02044611;0.183499644;504;1.63
